ticker,company_name,sector,industry,fiscal_year_end,COGS_to_Revenue,Gross_Margin,SGA_to_Revenue,Net_Margin,Cash_to_Assets,Receivables_to_Assets,Inventory_to_Assets,PPE_to_Assets,Debt_to_Assets,Equity_to_Assets
HPQ,HP Inc,Technology,Technology Hardware,2024-10-31,0.7793461416381934,0.2206538583618066,0.10564050859799473,0.05181202038873019,0.08113458117216668,0.20859956400811847,0.19344007617329426,0.10220752211280663,0.273096294069007,-0.033150417199128014
HPQ,HP Inc,Technology,Technology Hardware,2023-10-31,0.7857701329163409,0.2142298670836591,0.09972448713652779,0.060743140102014224,0.08396389579504919,0.17398119122257052,0.18543941195546426,0.10850178359096314,0.2902118689871365,-0.028888768781753324
HPQ,HP Inc,Technology,Technology Hardware,2022-10-31,0.8050707359720235,0.19492926402797647,0.08367509140041329,0.04978540772532189,0.08170104431859511,0.17901491141476594,0.19779705928196603,0.1041720787655219,0.31937444796591674,-0.07858367537798099
DELL,Dell Technologies,Technology,Technology Hardware,2026-01-31,0.8000052845743275,0.19999471542567246,0.09793196991315682,0.052282055347108454,0.11381632209782201,0.2571233931639121,0.10304484331496949,0.06591236696088304,0.31103015224216574,-0.02438639101159094
DELL,Dell Technologies,Technology,Technology Hardware,2025-01-31,0.7776429102095912,0.22235708979040883,0.12067973254366046,0.04805005912082622,0.04555714393198405,0.1956461766107391,0.08421739021392922,0.07945226092844782,0.30806560830637275,-0.017392721892007124
DELL,Dell Technologies,Technology,Technology Hardware,2024-01-31,0.7617302798982188,0.23826972010178116,0.139496748657054,0.038314956177551596,0.08969144972359545,0.1702992962033948,0.044102963738645494,0.07831868105106787,0.3165136497576894,-0.02596011007476317
DELL,Dell Technologies,Technology,Technology Hardware,2023-01-31,0.7782426369243702,0.22175736307562977,0.138180467444111,0.02387073440142325,0.09604847619153899,0.20244166452779236,0.053297028266619056,0.06928836861546016,0.33018267846581334,-0.03375701643771412
FTNT,Fortinet Inc,Technology,Systems Software,2025-12-31,0.1954379669392317,0.8045620330607682,0.379566445085005,0.27257485734454967,0.24018211219343163,0.1627844299849844,0.038453393909059407,0.1558349054787664,0.09589766295768683,0.11911408000616025
FTNT,Fortinet Inc,Technology,Systems Software,2024-12-31,0.19436515665401793,0.8056348433459821,0.38325665737600323,0.2930252862755633,0.2945683235857463,0.149890915795188,0.03231555551003267,0.13822453933689094,0.1018426524362139,0.15300468089029098
FTNT,Fortinet Inc,Technology,Systems Software,2023-12-31,0.2332227416679234,0.7667772583320767,0.41797994269340977,0.21637007992761273,0.1925773877584758,0.19314221162986128,0.06678697874333576,0.14387854909146014,0.13670115306726915,-0.06383887365854331
FTNT,Fortinet Inc,Technology,Systems Software,2022-12-31,0.24559695748630417,0.7544030425136958,0.41995291347851677,0.19407343686331327,0.2702151573538857,0.20258509955041748,0.042485549132947976,0.14426782273603084,0.1590237636480411,-0.04521515735388568
PANW,Palo Alto Networks,Technology,Systems Software,2025-07-31,0.265856964702055,0.734143035297945,0.38419996746733176,0.12296264165265955,0.0962241582612974,0.15607264953639688,0.06208107489121307,0.03114581654380265,0.014344975017178341,0.3318770624612957
PANW,Palo Alto Networks,Technology,Systems Software,2024-07-31,0.2565182186234818,0.7434817813765182,0.43288695110557457,0.32109623170351914,0.0767949416984728,0.16730112201051478,0.06208107489121307,0.037367001985903585,0.06725059902255526,0.25860266421221656
PANW,Palo Alto Networks,Technology,Systems Software,2023-07-31,0.277061238701815,0.722938761298185,0.43403891073164363,0.06379212790343407,0.07829061243629794,0.1966747350201019,0.06208107489121307,0.04260366454958589,0.15658812090117302,0.12057016364275813
PANW,Palo Alto Networks,Technology,Systems Software,2022-07-31,0.31240570753430885,0.6875942924656911,0.4642188494047078,-0.048532218485867494,0.1728879676176797,0.18392962068290136,0.06208107489121307,0.04894888032904616,0.3225909120584971,0.017137820722073514
